doc_id,source_file,module_code,url
doc_0089,CHEM2425.html,CHEM2425,N/A
doc_0090,CHEM2452.html,CHEM2452,N/A
doc_0091,CHEM2491.html,CHEM2491,N/A
doc_0092,CHEM2492.html,CHEM2492,N/A
doc_0093,CHEM2690.html,CHEM2690,N/A
doc_0094,CHEM3126.html,CHEM3126,N/A
doc_0095,CHEM3136.html,CHEM3136,N/A
doc_0096,CHEM3146.html,CHEM3146,N/A
doc_0097,CHEM3185.html,CHEM3185,N/A
doc_0098,CHEM3211.html,CHEM3211,N/A
doc_0099,CHEM3212.html,CHEM3212,N/A
doc_0100,CHEM3216.html,CHEM3216,N/A
doc_0101,CHEM3226.html,CHEM3226,N/A
doc_0102,CHEM3281.html,CHEM3281,N/A
doc_0103,CHEM3282.html,CHEM3282,N/A
doc_0104,CHEM3291.html,CHEM3291,N/A
doc_0105,CHEM3292.html,CHEM3292,N/A
doc_0106,CHEM3302.html,CHEM3302,N/A
doc_0107,CHEM3415.html,CHEM3415,N/A
doc_0108,CHEM3417.html,CHEM3417,N/A
doc_0109,CHEM3420.html,CHEM3420,N/A
doc_0110,CHEM3424.html,CHEM3424,N/A
doc_0111,CHEM3425.html,CHEM3425,N/A
doc_0112,CHEM3437.html,CHEM3437,N/A
doc_0113,CHEM3455.html,CHEM3455,N/A
doc_0114,CHEM3480.html,CHEM3480,N/A
doc_0115,CHEM3621.html,CHEM3621,N/A
doc_0116,CHEM3650.html,CHEM3650,N/A
doc_0117,CHEM3666.html,CHEM3666,N/A
doc_0118,CHEM3720.html,CHEM3720,N/A
doc_0119,CHEM8101.html,CHEM8101,N/A
doc_0120,CHEM8501.html,CHEM8501,N/A
doc_0121,CHEM9302.html,CHEM9302,N/A
doc_0122,CHEM9304.html,CHEM9304,N/A
